projektõpe kunst ja tehnoloogia aine,HVVK.01.049
hariduslik programmeerimiskeel,MTAT.03.299
vene kirjandus didaktika,FLGR.05.428
fotograafia,HVVK.14.020
seminar vene keel grammatika,HVLC.05.051
bioorgaaniline keemia,ARBK.01.042
mikrobioloogia,LTMR.03.002
meditsiiniline keemia,LOKT.00.009
vana ja uus testament seminar,USUS.05.069
rahandus,MJJV.10.002
orgaaniline keemia iii,LOKT.09.006
inimene käitumine psühholoogia,SVPH.00.016
õpikojapraktika,HVVK.01.024
"saksa keel algtase iii , tase a1 . 2 > a2 . 1",HVLC.04.009
"erialane inglise keel . õiguskeel ii , tase b2 . 1 > b2 . 2",HVLC.01.018
arvutuskeemia,LTKT.08.003
biokeemia praktikum,LTMR.08.001
doktoriseminar iv,MV00.00.013
pro tools,HVVK.02.006
ballett,HVVK.04.022
sissejuhatus multimeedia,P2VK.04.646
reporteritöö,SVUH.00.035
pärimusmuusika ansambel,HVVK.02.018
iseseisev lugemisoskus arendamine lähilugemine kaudu ( inglise keel ),HTOS.02.262
eripedagoogika alune,HTEP.01.057
proseminar antiikkultuur : sissejuhatus eriala,FLGR.02.133
epidemioloogia,ARTH.03.014
õigussüsteem võrdlev ajalugu,P2OG.01.084
informaatika didaktika i,MTAT.03.300
teatriteadus aktuaalne probleem,FLKU.05.164
heitmekäitlusprotsess modelleerimine,LOKT.04.037
kultuurisemiootika ja kultuuriteooria,FLSE.00.254
semiootiline analüüs metodoloogia,FLSE.00.252
programmeerimiskeel,MTAT.03.006
protsess mikroheterogeenne süsteem,LOKT.04.063
vesi tehnoloogia ja jäätmemajandus praktika,LOKT.04.061
kondensaine teooria i : struktuur ja elektronomadus,LOFY.04.012
eesti keel võõrkeel didaktika ii,FLEE.04.236
ladina keel teoloogia bakalaureuseõpe,HVLC.02.006
prantsuse keel didaktika ii,FLLC.03.004
tõenäosus ja statistika algkursus,MTMS.01.049
toiduaine mikrobioloogia,LOMR.03.006
kultuuridevaheline suhtlemine,P2NC.00.252
eesti keel võõrkeel õpetaja lisaeriala põhipraktika,HVEE.02.001
kirjandus didaktika,FLKU.05.208
bakalaureuseseminar,FLSE.00.280
vene kirjandus poeetika probleem,HVLC.05.052
prantsuse keel õpetaja peaeriala põhipraktika,HVLC.03.003
lõngatöö metoodika,HTHT.02.022
eneseväljendus ja improvisatsioon,P2VK.05.358
kunstiteos analüüs,HVVK.14.005
inimene füsioloogia,ARFS.01.030
doktoriseminar,LOKT.00.011
laul ja hääleseade iv,P2VK.02.764
orgaaniline keemia ii,LOKT.09.005
ülegenoomne tehnoloogia molekulaarbioloogia,LOMR.01.006
muusikateooria iv,P2VK.02.649
"india põliskultuur : folkloor , rituaal , usund",HVKU.04.014
spektroskoopia,LTFY.01.014
andmebaas alune,MTAT.03.320
turism inglise keel,P2PC.03.057
meditsiiniline mikrobioloogia,ARMB.01.020
motoorikas juhtimine,KKSB.03.013
epidemioloogia ja biostatistika,ARTH.03.006
korduv mõõtmine analüüs,MTMS.01.046
ballett iii,P2VK.04.370
eesti keel struktuur,FLEE.02.122
põhipill iii,P2VK.02.370
psühholoogia,SOPH.00.057
"helirežii , helikujundus",P2VK.04.299
mudeldusmäng metoodika,P2VK.05.240
parasitoloogia,LOOM.04.019
geriaatriline füsioteraapia praktika,KKSB.05.043
erialaseminar,FLGR.03.160
finantstuletisinstrument,SVMJ.06.006
strateegiline juhtimine,MJJV.08.048
maateadus alune i,LOOM.03.063
sissejuhatus võrdlev kirjandusteadus,FLKU.05.053
maailm kiviaeg,FLAJ.01.121
geodünaamika ja tahke maa füüsika alune,LOOM.03.086
tekstoloogia,FLKU.05.099
teadustöö metoodika ii,OIEO.01.022
uurimus ( majandusteadus ),MJ00.00.012
filmikeel ja filmiteooria,FLKU.05.059
eesti keskaeg,FLAJ.03.171
ungari maatundmine ja ajalugu,FLEE.07.148
funktsionaalne morfoloogia,KKSB.01.001
esmaabi,ARAI.01.039
ehitusmehaanika i,P2VK.01.103
sisehaigus,MV00.00.015
erakorraline meditsiin praktika,MV00.00.006
psühholoogia bakalaureuseeksam,SOPH.00.520
doktoritöö,AR00.00.083
treeninguõpetus alune,KKSP.04.013
teatripraktika,FLKU.05.259
19 sajand kirjandus seminar,FLKU.05.240
tekstianalüüs 1,FLGR.01.034
neuropsühhofarmakoloogia teadusseminar i,SOPH.00.246
sissejuhatus meediasemiootika,FLSE.00.235
viipekeel teoreetiline alune,HTEP.01.038
prantsuse keel teooria iii,FLGR.03.154
kaasaegne eesti keel,HTOS.02.503
dogmaatika magistriseminar,USUS.02.066
lepinguõigus,OIEO.04.098
erialane praktika,MTAT.03.318
finantsteenus õigus,OIEO.06.078
optimaalne juhtimine teooria,MTMM.00.229
biokeemia,LTMR.08.002
elusloodus ja evolutsioon,LTMR.02.001
ajakirjandusteooria,SOZU.01.129
prantsuse kirjandus,FLGR.03.156
baltimaa pronks ja vanem rauaaeg,FLAJ.01.110
tsiviilõigus eriseminar doktorant i,OIEO.04.095
eesti keel õpe erivajadus laps i,HTEP.02.084
sotsiaalfarmaatsia erialakirjandus ja internet,ARFA.01.060
seminar eesti ajalugu 17 - 20 sajand,FLAJ.03.158
